ID;Weekofday;max_capacity;number_of_ticket;max_capacity
5923;1;49;10.47;49
4723;2;11;4.44;11
1503;3;11;7.55;11
5197;3;49;31.51;49
1237;4;11;7.79;11
2484;6;49;6.02;49
1851;6;49;1.83;49
5704;2;49;2.34;49
4539;1;11;7.66;11
5977;4;49;1.53;49
5510;2;49;12.11;49
3086;0;49;1.07;49
858;1;11;8.74;11
5409;4;49;7.36;49
5622;2;49;18.14;49
3127;3;11;9.23;11
2034;5;11;10.64;11
1934;3;11;9.24;11
5701;2;49;13.935;49
22;3;49;1.01;49
6198;2;11;3.02;11
1911;6;11;8.94;11
4252;2;49;9.51;49
4098;3;11;10.04;11
5086;4;49;5.61;49
4999;3;11;9.4;11
4165;3;49;12.025;49
513;0;11;4.15;11
3390;0;11;8.11;11
5665;0;49;38.05;49
4498;3;49;15.845;49
2476;6;49;6.18;49
5718;2;49;20.895;49
886;6;49;2.91;49
2280;0;49;5.51;49
860;1;11;3.77;11
5757;1;49;37.95;49
2815;5;11;1.5;11
5284;5;11;5.75;11
6023;5;49;4.75;49
1596;0;11;10.41;11
3446;6;11;2.83;11
3008;2;11;1.1;11
555;0;11;10.75;11
5815;3;49;2.34;49
1595;6;49;13.04;49
5397;3;11;1.87;11
882;6;49;2.91;49
1627;1;49;1.99;49
3297;1;11;3.625;11
1302;0;49;4.56;49
5250;4;11;1.6;11
3345;3;49;8.09;49
4352;5;49;15.21;49
1429;6;11;7.05;11
5075;0;11;4.48;11
3899;3;49;1.36;49
2418;3;49;9.64;49
1689;6;11;10.57;11
3217;5;11;9.86;11
1268;3;11;7.5;11
2350;2;49;31.4;49
6057;0;49;12.225;49
1699;0;49;10.45;49
3417;6;49;6.56;49
4231;2;49;9.32;49
6237;5;11;1.61;11
3860;6;11;6.92;11
2472;6;49;11.59;49
304;4;11;7.78;11
3067;5;49;13.235;49
2179;0;11;6.91;11
749;6;11;6.68;11
4348;5;49;1.31;49
956;5;11;9.9;11
2010;0;11;1.13;11
3029;4;11;5.34;11
1210;5;11;1.67;11
3447;6;11;3.24;11
2894;0;49;21.63;49
794;6;11;10.92;11
889;6;49;19.39;49
5405;3;49;15.41;49
820;3;11;8.65;11
3176;3;49;13.705;49
5247;4;49;4.56;49
5699;2;49;19.495;49
1364;0;11;10.94;11
5906;1;49;6.975;49
3757;6;49;8.02;49
5881;2;11;10.05;11
3752;6;49;10.345;49
2704;2;11;10.71;11
5046;3;11;8.37;11
2195;4;11;10.13;11
5217;3;11;1.01;11
4696;2;11;10.59;11
5361;5;11;3.67;11
4709;2;11;10.1;11
4030;5;49;4.49;49
5993;4;49;3.53;49
5650;4;11;1.55;11
2916;3;11;10.98;11
419;0;11;7.625;11
3129;3;11;9.15;11
4730;0;11;10.74;11
3264;1;49;5.25;49
4633;5;11;10.92;11
1602;0;11;10.41;11
3864;3;49;1.4;49
3329;3;11;10.44;11
5020;4;11;2.04;11
4208;2;11;9.595;11
3353;6;49;14.67;49
2274;0;49;2.355;49
1696;6;11;10.01;11
3005;5;11;10.09;11
2906;0;49;7.91;49
5799;3;49;16.9;49
2795;4;49;5.6;49
3179;3;49;13.805;49
5228;4;49;2.495;49
2161;0;11;8.02;11
5376;2;11;1.05;11
859;3;49;1.27;49
3359;6;49;5.24;49
2203;4;11;1.27;11
1788;4;11;7.54;11
1950;3;11;10.6;11
128;0;49;1.25;49
5230;4;49;4.7;49
322;3;11;10.48;11
5336;1;11;1.09;11
1963;0;49;13.9;49
472;5;11;5.3;11
4020;3;11;9.3;11
964;1;49;2.54;49
589;0;11;9.72;11
1544;5;49;23.38;49
4344;5;49;23.23;49
680;4;11;10.08;11
425;0;11;6.16;11
3944;4;49;5.98;49
5540;3;49;1.84;49
2116;0;49;2.92;49
6227;5;49;1.53;49
1124;3;11;7.81;11
3109;3;11;5.61;11
4420;3;49;6.39;49
4985;2;49;36.08;49
5450;6;49;1.02;49
932;1;49;2.14;49
5358;2;49;7.285;49
268;5;49;2.65;49
209;0;49;1.59;49
2789;4;49;5.3;49
5417;5;49;6.89;49
2626;3;11;5.12;11
2273;0;49;2.355;49
6072;0;49;1.35;49
5939;3;49;1.76;49
4502;3;49;1.99;49
485;5;11;10.6;11
1374;0;49;10.57;49
1576;1;11;6.94;11
4465;3;11;9.88;11
2746;1;11;10.98;11
3736;1;11;9.51;11
4021;3;11;10.29;11
947;1;49;1.32;49
2094;2;11;10.65;11
465;4;49;21.23;49
813;3;11;7.65;11
2327;1;49;11.85;49
3277;4;49;26.805;49
2767;1;11;1.39;11
6003;4;49;1.46;49
4330;1;11;10.95;11
2638;3;11;1.14;11
2816;5;11;1.5;11
3342;4;49;27.215;49
3326;4;49;5.39;49
4849;5;49;3.27;49
4968;6;11;2.03;11
1188;5;11;7.9;11
2286;0;49;3.955;49
4485;3;11;1.66;11
5169;2;49;35.41;49
3637;3;49;10.72;49
5976;4;49;18.99;49
576;0;49;5.51;49
4232;2;49;10.31;49
3817;1;49;6.005;49
3933;6;11;8.46;11
5050;3;11;9.09;11
4487;3;11;8.17;11
5548;3;49;4.095;49
4433;3;11;10.93;11
980;5;11;10.36;11
4629;5;11;10.92;11
4613;1;11;2.16;11
2266;4;11;8.84;11
6166;2;49;1.62;49
4078;1;49;2.46;49
855;3;49;27.9;49
4270;1;11;10.155;11
1732;6;49;9.37;49
792;1;11;7.0;11
4788;5;49;4.58;49
4882;2;11;7.32;11
3156;0;11;10.97;11
1058;2;11;2.74;11
1435;6;11;5.72;11
5456;6;49;5.57;49
3646;3;11;10.37;11
4558;5;11;10.12;11
3787;0;49;1.87;49
4470;3;11;8.88;11
2924;3;11;8.19;11
60;2;49;9.64;49
1639;4;49;44.56;49
2595;3;49;2.21;49
5036;3;11;9.51;11
5072;4;11;1.12;11
2306;1;11;10.655;11
5950;3;49;10.48;49
3049;5;11;10.2;11
2001;0;11;7.33;11
3257;1;49;5.25;49
689;5;11;1.67;11
1488;3;11;9.7;11
3987;5;49;7.04;49
4299;1;11;5.33;11
4592;5;11;8.59;11
3320;3;11;3.63;11
5821;3;49;22.29;49
2250;4;11;10.16;11
1381;6;49;10.3;49
3935;4;11;1.22;11
1818;1;49;8.97;49
5856;6;49;18.83;49
902;6;49;1.51;49
4595;5;11;9.67;11
2055;4;49;44.71;49
5393;3;49;16.46;49
3356;6;49;27.565;49
2541;1;11;9.16;11
700;4;11;8.08;11
1992;3;49;7.04;49
6207;3;49;10.65;49
4676;4;49;10.22;49
3833;1;49;5.15;49
2688;2;11;4.96;11
4856;0;49;8.115;49
739;6;11;6.71;11
797;1;49;2.03;49
5497;4;11;8.76;11
5406;3;49;7.91;49
5140;5;11;4.66;11
1921;5;49;31.005;49
2843;4;49;6.83;49
545;0;11;9.76;11
4366;1;11;10.72;11
4774;2;49;2.15;49
4359;5;49;16.16;49
4292;1;11;9.72;11
3724;1;11;10.45;11
2585;3;49;3.17;49
5862;6;49;10.55;49
5796;3;49;2.1;49
217;5;49;2.04;49
1485;4;49;19.61;49
422;0;11;1.06;11
1721;2;49;15.68;49
1551;1;49;8.57;49
5525;2;49;10.75;49
2649;3;49;2.24;49
5081;4;11;1.52;11
3631;4;11;1.52;11
2096;2;11;10.54;11
3693;5;49;12.81;49
1023;2;11;8.43;11
1810;6;49;3.1;49
4503;3;49;4.5;49
5708;2;11;1.52;11
72;1;11;8.35;11
5776;1;49;4.28;49
5639;4;49;6.39;49
1521;2;11;6.99;11
5929;3;49;22.84;49
1140;3;49;7.4;49
1152;2;11;7.78;11
1340;0;11;10.32;11
4850;5;49;15.19;49
649;2;49;1.855;49
5747;5;49;13.985;49
5733;5;49;20.43;49
646;4;11;8.28;11
3920;4;49;36.02;49
1570;1;11;9.92;11
3214;5;11;10.19;11
2319;1;11;4.29;11
5278;5;11;8.47;11
2773;1;11;1.65;11
5709;2;11;3.5;11
5022;3;11;5.97;11
4546;1;11;4.63;11
334;3;11;10.42;11
3377;2;49;3.27;49
1594;6;49;23.15;49
2171;0;11;9.79;11
2525;1;49;7.54;49
2310;1;11;10.755;11
341;2;11;8.38;11
4617;5;11;10.98;11
5172;2;49;3.15;49
1450;3;11;9.55;11
147;6;11;1.0;11
991;5;49;14.78;49
1760;6;11;7.06;11
1500;3;11;9.47;11
4191;2;11;10.44;11
3192;6;49;6.045;49
80;1;49;1.1;49
2465;6;49;21.17;49
3116;3;11;8.81;11
553;0;11;10.75;11
2999;5;11;10.58;11
3618;4;11;3.92;11
459;0;49;3.99;49
2363;6;11;10.49;11
2496;0;49;33.74;49
5004;3;11;8.56;11
2403;5;11;6.35;11
2045;5;49;22.85;49
4718;2;11;6.99;11
3406;6;11;1.07;11
2008;0;11;4.36;11
4775;2;49;4.52;49
143;6;11;1.26;11
5808;3;49;8.04;49
5729;4;11;10.55;11
4855;0;49;42.29;49
5101;5;49;3.23;49
1830;4;49;9.23;49
4437;3;11;10.93;11
4322;5;11;2.17;11
3947;6;11;10.565;11
5122;6;49;21.65;49
590;2;49;31.15;49
5028;4;49;15.225;49
1392;6;11;9.87;11
3385;0;11;10.9;11
3149;3;49;5.51;49
326;2;11;3.0;11
518;5;49;2.19;49
3383;0;49;7.25;49
2457;5;49;9.52;49
5339;1;49;3.13;49
5710;2;49;18.23;49
2566;1;49;10.42;49
2943;2;11;9.81;11
1532;2;11;8.79;11
2392;2;49;11.17;49
5724;5;11;1.81;11
2331;1;49;24.735;49
4659;2;49;7.64;49
2378;5;49;5.77;49
5400;3;11;1.26;11
5624;2;11;1.64;11
5033;3;11;3.5;11
3733;1;49;7.22;49
4521;3;11;1.21;11
2233;4;11;10.55;11
2475;6;49;12.815;49
3758;1;11;11.11;11
787;6;49;1.84;49
5120;6;49;31.615;49
659;2;49;18.74;49
301;4;11;8.99;11
6162;2;49;8.43;49
262;6;11;1.71;11
3482;6;49;5.07;49
4884;2;11;6.75;11
3486;6;11;3.48;11
4688;2;11;10.99;11
4094;2;49;3.13;49
1688;6;11;10.57;11
1512;2;11;2.66;11
2949;0;49;1.51;49
610;0;11;9.05;11
5685;0;49;14.765;49
3163;0;11;7.45;11
5749;5;49;18.14;49
2003;0;11;7.72;11
1982;0;11;10.37;11
2338;1;49;2.31;49
451;4;49;6.14;49
4119;2;11;4.33;11
2482;6;49;7.09;49
2325;1;11;3.55;11
2838;4;11;1.03;11
5189;2;49;4.72;49
6050;0;49;3.02;49
5669;0;49;1.07;49
977;1;49;7.27;49
3936;4;49;6.38;49
5066;0;11;1.38;11
47;0;11;1.16;11
272;4;11;2.28;11
1790;4;11;7.51;11
5513;2;49;12.11;49
3624;4;11;10.77;11
4763;2;11;2.44;11
1852;6;49;1.68;49
1784;4;11;7.71;11
5988;4;49;4.17;49
1457;3;11;10.05;11
535;0;11;5.11;11
3319;3;11;2.82;11
850;3;11;7.7;11
2817;4;11;9.9;11
4889;0;49;5.3;49
5215;3;49;3.44;49
5343;1;11;1.31;11
701;1;49;5.99;49
2015;5;49;8.86;49
2742;1;11;9.78;11
1260;6;49;2.25;49
1241;4;11;7.17;11
3275;6;11;3.72;11
5792;1;49;2.185;49
2766;1;49;4.45;49
2827;4;49;7.11;49
3835;1;49;3.35;49
3065;5;49;7.57;49
2442;5;49;10.515;49
4455;3;11;10.78;11
4361;5;49;16.16;49
1315;1;11;6.76;11
3675;5;49;26.13;49
3657;3;11;10.93;11
15;2;49;2.05;49
1944;3;11;9.94;11
362;1;11;5.82;11
2777;1;49;4.45;49
1274;3;11;7.83;11
5705;2;49;17.87;49
59;4;49;1.39;49
5596;6;49;31.24;49
5954;3;49;10.33;49
330;2;11;4.65;11
392;0;11;9.59;11
3070;5;49;2.4;49
2257;5;49;9.9;49
4997;3;11;9.38;11
2760;1;11;10.15;11
1690;6;11;10.57;11
4480;3;11;6.79;11
457;4;49;7.72;49
3770;0;49;8.42;49
3087;0;49;1.07;49
3976;5;49;3.57;49
5212;3;11;1.25;11
1480;4;49;2.36;49
5317;1;49;3.12;49
3970;5;11;1.04;11
3030;4;11;6.5;11
3990;5;11;6.7;11
3364;3;11;4.6;11
4110;2;11;1.31;11
2690;6;49;2.43;49
4065;1;49;1.94;49
3309;6;11;4.085;11
259;6;11;1.77;11
50;5;11;9.49;11
1008;1;11;1.2;11
406;2;49;2.31;49
3782;1;11;3.36;11
712;1;49;5.57;49
3401;0;11;7.97;11
2744;1;49;10.6;49
1081;4;11;9.85;11
4196;2;11;10.44;11
3803;0;49;25.3;49
1995;3;49;44.65;49
1831;4;11;9.01;11
172;6;11;1.25;11
3512;1;49;6.63;49
3120;0;11;2.02;11
1625;1;49;1.99;49
